"attivita","citta","referente","email","telefono","sito","scenario","dettaglio","fonte","stato","data_invio","note"
"Montecristo","Alessandria","","info@montecristopub.com","+39 0131 348023","www.montecristopub.com","sito_lento_mobile","Il sito non ha l'impostazione per il mobile: da cellulare si apre in versione da computer e per leggere il menu bisogna allargare con le dita. E il numero 0131-348023 è scritto come testo, non è cliccabile: per chiamarvi bisogna ricopiarlo a mano.","PagineGialle + audit tecnico 17/09","inviato","2026-09-17","Email verificata sulla pagina /dove-siamo del loro sito. Nessun meta viewport, zero media query, nessun H1, nessun form di prenotazione. Server Aruba."
"Le Muse Acconciatori","Alessandria","","info@lemuseacconciatori.it","+39 0131 266800","www.lemuseacconciatori.it","sito_lento_mobile","Sul sito il numero 0131 266800 è scritto come semplice testo e non è cliccabile: da telefono, per chiamarvi, il cliente deve segnarselo e ricomporlo a mano.","PagineGialle + audit tecnico 17/09","inviato","2026-09-17","Email verificata sul loro sito. Viewport presente ma zero media query: l'adattamento al telefono è solo apparente. Nessun link WhatsApp, nessuna mappa. Template Pixelarity su IIS."
"Girone dei Golosi","Alessandria","","ristorante@gironedeigolosi.com","","www.gironedeigolosi.com","sito_vecchio","La home del sito è solo il logo e due bottoni, CATERING e RISTORANTE: non c'è l'indirizzo, non ci sono gli orari, non c'è un modo per prenotare. Chi arriva da Google deve indovinare dove siete.","TuttoCittà + audit tecnico 17/09","inviato","2026-09-17","88 parole in home, zero media query, nessun link tel:. Template Pixelarity di Studio Due srl."
"Trattoria La Piola","Alessandria","","ale@trattorialapiola.it","+39 0131 226779","www.trattorialapiola.it","sito_vecchio","In fondo al sito c'è ancora scritto «© 2020». Chi vi trova oggi e legge quella data si chiede se siete ancora aperti, prima ancora di guardare il menu.","TuttoCittà + audit tecnico 17/09","inviato","2026-09-17","Sito per il resto sano: viewport, due link tel:, 10 media query. L'unico problema vero è la data."
"Pizzeria Il Faro","Alessandria","","ilfaro@outlook.it","+39 0131 218090","","senza_sito","Cercandovi si trovano solo schede di directory: Virgilio, PagineGialle, Cylex, menupizza. Un vostro sito non esiste, e la pagina che vi rappresenta su Google l'ha scritta qualcun altro.","Ricerca verificata su 10 fonti 17/09","inviato","2026-09-17","Nessun sito trovato su 10 risultati di ricerca. Corso Carlo Marx 5/9."
"Ristorante Divagar","Alessandria","","teo.scarvaci@gmail.com","+39 366 233 6452","divagar.it","sito_lento_mobile","Sul sito nessun numero è cliccabile: da telefono, per chiamarvi, il cliente deve uscire dal sito e ricopiare il numero a mano. E la home pesa 374 KB, che su rete mobile in centro si sente.","TuttoCittà + audit tecnico 17/09","inviato","2026-09-17","Sito curato (166 media query, WhatsApp presente): il taglio giusto è il dettaglio, non il rifacimento."
"Duomo","Alessandria","","info@ristorante-duomo.com","+39 0131 52631","www.ristorante-duomo.com","sito_lento_mobile","Il sito non ha l'impostazione per il telefono: da cellulare la pagina si apre in versione da computer e bisogna allargare con le dita per leggere","PagineGialle + audit tecnico 17/09","pronto","","Sul sito nessun numero è cliccabile: da telefono, per chiamarvi, il cliente deve uscire dal sito e ricopiarlo a mano | Il sito usa Flash, spento dal 2020: quelle parti oggi sono invisibili a tutti"
"Castello di Oviglio","Oviglio","","info@castellodioviglio.it","+39 0131 776166","www.castellodioviglio.it","sito_lento_mobile","Sul sito nessun numero è cliccabile: da telefono, per chiamarvi, il cliente deve uscire dal sito e ricopiarlo a mano","PagineGialle + audit tecnico 17/09","pronto","","Il sito dichiara di adattarsi al telefono ma non ha nessuna regola per farlo: sul cellulare resta la stessa pagina del computer, rimpicciolita | In fondo alle pagine c'è ancora scritto «© 2017»: chi vi trova oggi si chiede se siete ancora aperti"
"Dimar Catering","Casale Monferrato","","info@dimar.it","+39 0142 74751","www.dimar.it","sito_lento_mobile","Sul sito nessun numero è cliccabile: da telefono, per chiamarvi, il cliente deve uscire dal sito e ricopiarlo a mano","PagineGialle + audit tecnico 17/09","pronto","","Il sito dichiara di adattarsi al telefono ma non ha nessuna regola per farlo: sul cellulare resta la stessa pagina del computer, rimpicciolita"
"Marengo Catering","Litta Parodi","","info@marengocatering.com","+39 347 8270389","www.marengocatering.com","sito_lento_mobile","In fondo alle pagine c'è ancora scritto «© 2015»: chi vi trova oggi si chiede se siete ancora aperti","PagineGialle + audit tecnico 17/09","pronto","","La home impiega 6.25 secondi ad aprirsi da rete mobile"
